order_id,customer_id,order_date,product_id,quantity,price,payment_type,status
1,2371,2025-03-20,432,2,508.38,Credit Card,Delivered
2,1422,2024-05-26,34,4,1285.0,UPI,Delivered
3,810,2023-11-16,59,2,2085.98,UPI,Delivered
4,1173,2025-05-15,416,4,4010.72,Net Banking,Delivered
5,1049,2023-10-29,199,5,1670.4,Debit Card,Delivered
6,2094,2024-02-20,382,1,770.81,Credit Card,Delivered
7,851,2023-09-18,131,3,3783.99,Credit Card,Delivered
8,323,2025-07-09,86,1,336.86,Credit Card,Delivered
9,1618,2024-11-14,93,4,756.76,Credit Card,Returned
10,2733,2025-06-02,226,3,1698.39,Debit Card,Delivered
11,982,2024-06-28,62,3,2687.46,UPI,Delivered
12,1775,2025-06-06,153,3,1874.22,Credit Card,Delivered
13,2267,2024-06-02,382,1,770.81,Credit Card,Delivered
14,617,2025-05-13,478,5,1956.15,Debit Card,Delivered
15,1725,2024-09-16,18,4,5238.8,Net Banking,Delivered
16,2355,2024-06-28,85,1,794.02,Credit Card,Delivered
17,2297,2024-08-20,10,3,3388.89,Credit Card,Delivered
18,1766,2025-05-16,449,1,540.42,Net Banking,Delivered
19,520,2025-05-06,476,2,294.1,Net Banking,Delivered
20,286,2024-02-15,404,4,3070.64,Debit Card,Delivered
21,1683,2025-03-25,192,4,2671.96,UPI,Delivered
22,1483,2024-11-16,67,3,2486.79,UPI,Returned
23,1880,2024-03-04,117,2,1228.88,Net Banking,Returned
24,2285,2024-07-22,377,2,586.1,Credit Card,Delivered
25,2779,2024-07-17,287,4,4381.92,Net Banking,Delivered
26,1775,2025-04-25,489,4,4268.96,Net Banking,Delivered
27,2407,2023-09-21,63,4,2355.44,Debit Card,Delivered
28,2077,2024-12-16,354,1,579.56,Debit Card,Delivered
29,1741,2023-11-21,409,1,632.48,Credit Card,Delivered
30,2706,2024-10-12,166,5,5751.65,Net Banking,Delivered
31,1445,2023-09-05,394,1,738.93,Credit Card,Delivered
32,1864,2024-11-28,195,1,977.98,Debit Card,Delivered
33,2615,2023-12-29,62,1,895.82,UPI,Delivered
34,1953,2024-04-26,252,1,341.3,Credit Card,Delivered
35,29,2023-08-01,116,5,5531.65,Credit Card,Delivered
36,1610,2023-08-18,349,4,4386.08,UPI,Delivered
37,1332,2024-06-05,338,5,6270.55,Credit Card,Delivered
38,593,2025-07-14,161,5,1242.75,Credit Card,Delivered
39,114,2023-10-13,460,5,4597.4,Debit Card,Delivered
40,747,2025-04-07,380,4,3987.72,Credit Card,Delivered
41,168,2024-08-20,237,2,301.54,Debit Card,Delivered
42,288,2024-03-12,448,3,3000.63,Net Banking,Delivered
43,2928,2024-08-12,346,2,1181.06,Debit Card,Delivered
44,2001,2024-10-02,214,5,1571.45,Net Banking,Delivered
45,2551,2024-07-30,13,3,1512.63,Debit Card,Returned
46,874,2024-03-11,493,1,1160.45,Debit Card,Delivered
47,2806,2023-11-11,54,4,3209.68,UPI,Delivered
48,704,2023-10-26,271,5,5929.7,UPI,Delivered
49,1078,2024-01-19,10,2,2259.26,Debit Card,Returned
50,2862,2024-03-20,301,4,3098.8,Net Banking,Delivered
51,2204,2025-05-22,47,5,4179.7,Debit Card,Returned
52,723,2024-02-17,282,2,2184.26,Credit Card,Delivered
53,1132,2025-04-11,480,4,988.2,UPI,Delivered
54,818,2023-12-30,178,5,1837.05,UPI,Delivered
55,2302,2024-03-15,82,3,2953.44,Debit Card,Delivered
56,765,2023-08-31,37,2,690.12,Debit Card,Delivered
57,498,2024-03-15,336,1,521.08,Net Banking,Delivered
58,2929,2025-02-03,218,4,4645.56,Net Banking,Delivered
59,2632,2024-06-10,211,2,2424.86,UPI,Delivered
60,2647,2025-06-02,20,2,2400.72,Debit Card,Delivered
61,2410,2025-02-13,372,5,3675.85,UPI,Delivered
62,901,2025-02-25,184,3,2853.84,Net Banking,Delivered
63,2119,2024-05-09,54,3,2407.26,Net Banking,Delivered
64,2573,2024-09-18,319,4,5244.36,Net Banking,Delivered
65,470,2023-11-16,329,2,1095.02,Debit Card,Delivered
66,1200,2023-10-14,358,5,3663.95,UPI,Delivered
67,1351,2023-11-15,30,3,2682.63,Debit Card,Delivered
68,1104,2023-09-26,368,3,2163.33,Net Banking,Delivered
69,2478,2024-04-07,174,5,5717.05,Net Banking,Delivered
70,2923,2025-03-26,247,4,1983.52,Debit Card,Delivered
71,373,2024-11-26,499,5,2018.15,Credit Card,Delivered
72,2376,2024-06-21,316,5,3556.45,Debit Card,Delivered
73,2615,2025-05-06,353,3,2896.83,Debit Card,Delivered
74,2827,2024-02-02,237,4,603.08,Debit Card,Delivered
75,797,2024-11-01,347,4,3405.52,Net Banking,Delivered
76,994,2025-02-13,386,4,1257.4,UPI,Delivered
77,2343,2025-02-23,139,4,2046.8,Credit Card,Delivered
78,754,2024-04-22,353,1,965.61,UPI,Delivered
79,2003,2023-11-25,118,1,1271.97,Net Banking,Delivered
80,996,2024-04-23,487,4,3055.44,Debit Card,Delivered
81,886,2024-02-05,354,2,1159.12,Net Banking,Delivered
82,31,2024-10-09,12,1,136.17,Credit Card,Delivered
83,2079,2025-03-22,346,1,590.53,UPI,Delivered
84,2833,2023-12-01,73,3,2973.87,Net Banking,Delivered
85,2225,2023-08-03,240,5,6786.3,UPI,Delivered
86,207,2024-05-26,417,4,2414.16,UPI,Delivered
87,1981,2024-12-14,289,4,4839.72,Net Banking,Delivered
